k,target,num_probes,conv_code,rate,decoder_mode,calibration_ber,authorized_uncoded_ber,authorized_postfec_ber,worst_unauthorized_postfec_ber,avg_unauthorized_postfec_ber,median_unauthorized_postfec_ber,leak_positions_le_0p05,leak_positions_le_0p10,evaluated_unauthorized_positions,status
3,"(3, 19, 20)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.2894736842105263,0.2968421052631579,0.2894736842105263,0,0,25,ok
3,"(7, 18, 25)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.2719298245614035,0.2912280701754386,0.2807017543859649,0,0,25,ok
3,"(23, 27, 28)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.0,0.0,0.0,0.2456140350877193,0.25473684210526315,0.2631578947368421,0,0,25,ok
3,"(12, 25, 28)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.0,0.0,0.0,0.2719298245614035,0.28350877192982454,0.2719298245614035,0,0,25,ok
3,"(14, 21, 25)",15,conv_k3_r13,0.31666666666666665,logistic_top2,0.0,0.0,0.0,0.22807017543859645,0.2491228070175438,0.22807017543859645,0,0,25,ok
3,"(3, 16, 18)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.0,0.0,0.0,0.2631578947368421,0.28982456140350876,0.2982456140350877,0,0,25,ok
3,"(6, 17, 21)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.0,0.0,0.0,0.2982456140350877,0.3256140350877193,0.30701754385964913,0,0,25,ok
3,"(14, 17, 18)",15,conv_k3_r13,0.31666666666666665,logistic_top2,0.07,0.08333333333333333,0.10526315789473684,0.2719298245614035,0.28456140350877196,0.2807017543859649,0,0,25,ok
3,"(10, 11, 17)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.04666666666666667,0.03888888888888889,0.017543859649122806,0.27192982456140347,0.29157894736842105,0.30701754385964913,0,0,25,ok
3,"(22, 25, 26)",15,conv_k3_r13,0.31666666666666665,baseline,0.18166666666666667,0.17777777777777778,0.20175438596491227,0.2280701754385965,0.2733333333333333,0.25438596491228066,0,0,25,ok
3,"(7, 18, 27)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.24561403508771928,0.2901754385964912,0.2982456140350877,0,0,25,ok
3,"(1, 4, 13)",15,conv_k3_r13,0.31666666666666665,logistic_top2,0.0,0.0,0.0,0.30701754385964913,0.33894736842105266,0.32456140350877194,0,0,25,ok
3,"(8, 12, 20)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.0,0.0,0.0,0.2982456140350877,0.30280701754385964,0.30701754385964913,0,0,25,ok
3,"(9, 20, 26)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.2807017543859649,0.3150877192982456,0.3333333333333333,0,0,25,ok
3,"(4, 19, 21)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.2719298245614035,0.3319298245614035,0.30701754385964913,0,0,25,ok
3,"(1, 7, 14)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.2982456140350877,0.35228070175438597,0.31578947368421056,0,0,25,ok
4,"(1, 7, 20, 26)",15,conv_k3_r13,0.31666666666666665,logistic_top2,0.05,0.03958333333333333,0.0,0.2894736842105263,0.3355263157894737,0.3289473684210526,0,0,24,ok
4,"(1, 4, 20, 21)",15,conv_k3_r13,0.31666666666666665,logistic_top2,0.0,0.0,0.0,0.3223684210526316,0.3410087719298245,0.3355263157894737,0,0,24,ok
4,"(5, 11, 14, 24)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.07625,0.0625,0.013157894736842105,0.3223684210526315,0.3333333333333333,0.3355263157894737,0,0,24,ok
4,"(2, 14, 16, 19)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.025,0.03958333333333333,0.0,0.3092105263157895,0.3333333333333333,0.3223684210526316,0,0,24,ok
4,"(1, 2, 7, 20)",15,conv_k3_r13,0.31666666666666665,logistic_top2,0.0175,0.020833333333333332,0.019736842105263157,0.29605263157894735,0.331140350877193,0.32894736842105265,0,0,24,ok
4,"(7, 10, 20, 21)",15,conv_k3_r13,0.31666666666666665,logistic_top2,0.0,0.0,0.0,0.29605263157894735,0.33826754385964913,0.32894736842105265,0,0,24,ok
4,"(3, 15, 22, 23)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.02375,0.03333333333333333,0.0,0.2894736842105263,0.3223684210526316,0.3157894736842105,0,0,24,ok
4,"(3, 4, 16, 19)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.0,0.0,0.0,0.2894736842105263,0.3245614035087719,0.32894736842105265,0,0,24,ok
4,"(3, 6, 14, 15)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.07375,0.07708333333333334,0.0,0.3092105263157895,0.337171052631579,0.3223684210526316,0,0,24,ok
